hour,excess_shape_normalized
0,0.012862760470899536
1,0.01470029768102804
2,0.018972571694576817
3,0.03001310776543225
4,0.04961350467346964
5,0.06374722838137473
6,0.061251240337616836
7,0.055101615807720106
8,0.049307248471781556
9,0.0483884798667173
10,0.04972069434406047
11,0.051322414278889145
12,0.050838529480221974
13,0.050915093530643996
14,0.05145104188359814
15,0.04915412037093751
16,0.04761671423846333
17,0.046140559346326764
18,0.04532591784983646
19,0.042330732197327
20,0.03366061912753733
21,0.028178633117320627
22,0.025498891352549888
23,0.023887983731670566
