year,hour,q25,median,q75
2022,0,14250.0,15800.0,16500.0
2022,1,14000.0,15607.0,16100.0
2022,2,13900.0,15450.0,16000.0
2022,3,14000.0,15400.0,16150.0
2022,4,14350.0,16100.0,17250.0
2022,5,15100.0,16800.0,18550.0
2022,6,16050.0,17700.0,19600.0
2022,7,16900.0,18700.0,20150.0
2022,8,17250.0,19350.0,20400.0
2022,9,17400.0,19650.0,20400.0
2022,10,17400.0,19550.0,20400.0
2022,11,17450.0,19500.0,20250.0
2022,12,17350.0,18950.0,20150.0
2022,13,17250.0,18700.0,19850.0
2022,14,17250.0,18650.0,19850.0
2022,15,17850.0,18700.0,20500.0
2022,16,18100.0,19100.0,20800.0
2022,17,18250.0,19550.0,20850.0
2022,18,18300.0,19400.0,20800.0
2022,19,18100.0,18900.0,20350.0
2022,20,17350.0,18050.0,19450.0
2022,21,16300.0,16900.0,18700.0
2022,22,15074.0,15550.0,17800.0
2022,23,14400.0,14800.0,16750.0
2023,0,13600.0,14900.0,15780.0
2023,1,13400.0,14700.0,15574.0
2023,2,13350.0,14650.0,15500.0
2023,3,13350.0,14750.0,15556.0
2023,4,13804.0,15550.0,16350.0
2023,5,14775.0,16321.0,17472.0
2023,6,15650.0,17400.0,18500.0
2023,7,16350.0,17916.0,19016.0
2023,8,16700.0,18405.0,19526.0
2023,9,16986.0,18528.0,19583.0
2023,10,16888.0,18450.0,19557.0
2023,11,16700.0,18339.0,19550.0
2023,12,16700.0,18100.0,19550.0
2023,13,16500.0,17956.0,19150.0
2023,14,16494.0,17959.0,19174.0
2023,15,16807.0,18083.0,20037.0
2023,16,17232.0,18334.0,20274.0
2023,17,17532.0,18814.0,20400.0
2023,18,17699.0,18794.0,20400.0
2023,19,17250.0,18194.0,20069.0
2023,20,16462.0,17150.0,19250.0
2023,21,15366.0,16036.0,18345.0
2023,22,14200.0,14713.0,17267.0
2023,23,13600.0,14050.0,16012.0
2024,0,13970.25,15126.0,16619.0
2024,1,13795.0,15035.0,16244.75
2024,2,13627.0,14858.0,16079.25
2024,3,13681.5,14862.0,16091.25
2024,4,14394.75,15655.0,16489.5
2024,5,14943.0,16201.5,17623.25
2024,6,15636.25,17205.5,18513.75
2024,7,16402.5,17876.5,19108.75
2024,8,16775.75,18137.5,19693.0
2024,9,16623.5,18407.0,19784.5
2024,10,16480.25,18389.0,19617.75
2024,11,16398.0,18357.5,19556.5
2024,12,16427.25,17975.5,19582.0
2024,13,16368.5,17872.0,19434.5
2024,14,16346.5,17870.5,19253.25
2024,15,16728.0,18190.5,19615.0
2024,16,17205.75,18794.0,20159.0
2024,17,17864.0,19440.0,20442.75
2024,18,17975.75,19444.5,20267.5
2024,19,17716.75,19190.0,19811.0
2024,20,16778.25,18187.0,18929.0
2024,21,15639.25,17300.0,17997.25
2024,22,14479.0,16264.0,17064.0
2024,23,13887.25,15412.5,16003.75
